2019-08-09 05:15:52,079 p=1 u=root |  ERROR! the playbook: init.yaml could not be found
2019-08-09 05:21:39,150 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Validate mandatory parameter f5app_services_package_path is present] **********************
2019-08-09 05:21:39,224 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:21:39,431 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Validate mutually exclusive parameters are not present] ***********************************
2019-08-09 05:21:39,523 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:21:39,758 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Download an RPM package to controller, no checksum validation] ****************************
2019-08-09 05:21:39,838 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:21:40,090 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Download an RPM package to controller, checksum validation from url] **********************
2019-08-09 05:21:42,665 p=1 u=root |  changed: [10.1.10.11 -> localhost]
2019-08-09 05:21:42,907 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Download an RPM package to controller, checksum validation from variable] *****************
2019-08-09 05:21:42,999 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:21:43,273 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Check the RPM file is downloaded and present] *********************************************
2019-08-09 05:21:44,573 p=1 u=root |  ok: [10.1.10.11 -> localhost]
2019-08-09 05:21:44,833 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Install RPM Package After Download] *******************************************************
2019-08-09 05:21:49,260 p=1 u=root |  ok: [10.1.10.11 -> localhost]
2019-08-09 05:21:49,474 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Install RPM Package on the BIG-IP] ********************************************************
2019-08-09 05:21:49,558 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:21:49,818 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Remove RPM Package from the BIG-IP] *******************************************************
2019-08-09 05:21:49,884 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:21:49,896 p=1 u=root |  PLAY RECAP ****************************************************************************************************************************
2019-08-09 05:21:49,897 p=1 u=root |  10.1.10.11                 : ok=7    changed=2    unreachable=0    failed=0    skipped=7    rescued=0    ignored=0   
2019-08-09 05:24:33,439 p=1 u=root |  PLAY [Download and Install RPMs] ******************************************************************************************************
2019-08-09 05:24:33,467 p=1 u=root |  TASK [Gathering Facts] ****************************************************************************************************************
2019-08-09 05:24:43,327 p=1 u=root |  ok: [10.1.10.11]
2019-08-09 05:24:43,577 p=1 u=root |  TASK [Install AS3 RPM] ****************************************************************************************************************
2019-08-09 05:24:44,728 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Check if RPM exists on controller] ********************************************************
2019-08-09 05:24:45,940 p=1 u=root |  changed: [10.1.10.11 -> localhost]
2019-08-09 05:24:46,111 p=1 u=root |  TASK [f5devcentral.f5app_services_package : RPM is not installed raise error] *********************************************************
2019-08-09 05:24:46,186 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:24:46,374 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Set Connection Facts] *********************************************************************
2019-08-09 05:24:46,464 p=1 u=root |  ok: [10.1.10.11]
2019-08-09 05:24:46,717 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Wait for BIG-IP to be available] **********************************************************
2019-08-09 05:24:50,975 p=1 u=root |  ok: [10.1.10.11 -> localhost]
2019-08-09 05:24:51,223 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Validate mandatory parameter f5app_services_package_path is present] **********************
2019-08-09 05:24:51,363 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:24:51,592 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Validate mutually exclusive parameters are not present] ***********************************
2019-08-09 05:24:51,679 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:24:51,849 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Download an RPM package to controller, no checksum validation] ****************************
2019-08-09 05:24:51,938 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:24:52,187 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Download an RPM package to controller, checksum validation from url] **********************
2019-08-09 05:24:54,836 p=1 u=root |  changed: [10.1.10.11 -> localhost]
2019-08-09 05:24:55,059 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Download an RPM package to controller, checksum validation from variable] *****************
2019-08-09 05:24:55,113 p=1 u=root |  skipping: [10.1.10.11]
2019-08-09 05:24:55,340 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Check the RPM file is downloaded and present] *********************************************
2019-08-09 05:24:56,553 p=1 u=root |  ok: [10.1.10.11 -> localhost]
2019-08-09 05:24:56,818 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Install RPM Package After Download] *******************************************************
2019-08-09 05:25:01,321 p=1 u=root |  ok: [10.1.10.11 -> localhost]
2019-08-09 05:25:01,507 p=1 u=root |  TASK [f5devcentral.f5app_services_package : Install RPM Package on the BIG-IP] ********************************************************
2019-08-09 05:25:01,597 p=1 u=root |  skipping: [10.1.10.11]
